bairro_origem,bairro_destino,logradouro,observacao,peso
Ibura,Cohab,2av.recife+av.prof.luiz_freire,av = avenida,2.0
Recife,Aflitos,pe-001+av.norte_miguel_arraes_de_alencar,av = avenida;  pe = rodovia pe,2.0
Recife,Engenho do Meio,av.cais_do_apolo+ponte_buarque_de_macedo+av.caxangá+r.sao_miguel,av = avenida; r = rua,4.5
Recife,Boa Viagem,av.nossa_sra_do_carmo+r.do_sol+av.mascarenhas_de_moraes+av.boa_viagem,av = avenida,5.0
Recife,Arruda,1av.norte_miguel_arraes_de_alencar+av.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,4.0
Recife,Cordeiro,av.caxangá+av.estrada_dos_remedios,av = avenida,2.5
Recife,Boa Vista,av.nossa_sra_do_carmo+ponte_de_recife+r.do_sol,av = avenida; r = rua,3.5
Recife,Afogados,av.dantas_barreto+r.padre_muniz+av.conselheiro_aguiar,av = avenida; r = rua,4.0
Recife,Coelhos,r.do_sol+av.dantas_barreto+viaduto_das_quinze_pontes+av.martin_luther_king,av = avenida; r = rua,6.5
Recife,Brejo da Guabiraba,1av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida,2.0
Recife,Areias,av.brasilia+br-101+r.capitao_jose_leite,av = avenida; r = rua,4.0
Recife,Ibura,av.nossa_sra_do_carmo+av.mascarenhas_de_moraes+br-101,av = avenida,3.0
Recife,Barro,av.dantas_barreto+r.do_sol+av.nossa_sra_do_carmo+av.consolacao,av = avenida; r = rua,5.0
Aflitos,Engenho do Meio,1av.caxangá+av.visconde_de_alagoinhas,av = avenida,2.0
Aflitos,Boa Viagem,av.joana_bezerra+av.agamenon_magalhaes+r.antonio_de_goes+r.padre_teotonio,av = avenida; r = rua,6.0
Aflitos,Arruda,av.norte_miguel_arraes_de_alencar+r.doutor_agostinho_campelo,av = avenida; r = rua,3.0
Aflitos,Cordeiro,1av.caxangá+r.sao_miguel+r.josue_de_sousa,av = avenida; r = rua,5.0
Aflitos,Boa Vista,av.conselheiro_rodrigues_alves+r.conde_de_boa_vista,av = avenida; r = rua,3.0
Aflitos,Afogados,av.visconde_de_alagoinhas+av.joana_bezerra+r.sao_miguel,av = avenida; r = rua,4.0
Aflitos,Coelhos,1r.dos_coelhos+r.da_aurora+r.do_sol+av.dantas_barreto,av = avenida; r = rua,7.0
Aflitos,Brejo da Guabiraba,av.dois_irmaos+r.joao_de_barros+r.siqueira_campos,av = avenida; r = rua,5.0
Aflitos,Areias,av.beira_rio+av.caxangá+br-101,av = avenida,3.0
Aflitos,Ibura,av.visconde_de_alagoinhas+av.joana_bezerra+av.agamenon_magalhaes+br-101,av = avenida,4.0
Aflitos,Barro,av.joana_bezerra+av.agamenon_magalhaes+r.sao_miguel+br-101,av = avenida; r = rua,4.0
Engenho do Meio,Boa Viagem,av.caxangá+r.sao_miguel+av.visconde_de_alagoinhas+av.joana_bezerra+av.agamenon_magalhaes,av = avenida; r = rua,6.0
Engenho do Meio,Arruda,av.caxangá+r.sao_miguel+r.doutor_agostinho_campelo,av = avenida; r = rua,5.0
Engenho do Meio,Cordeiro,av.caxangá+r.sao_miguel,av = avenida; r = rua,3.0
Engenho do Meio,Boa Vista,av.caxangá+av.conselheiro_rodrigues_alves,av = avenida,2.0
Engenho do Meio,Afogados,2av.caxangá+r.sao_miguel+r.dr_francisco_de_assis+r.padre_muniz+r.sao_miguel,av = avenida; r = rua,9.0
Engenho do Meio,Coelhos,3av.caxangá+r.sao_miguel+r.josue_de_sousa,av = avenida; r = rua,5.0
Engenho do Meio,Brejo da Guabiraba,2av.caxangá+av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida; r = rua,3.0
Engenho do Meio,Areias,av.caxangá+br-101,av = avenida; r = rua; br = rodovia BR,2.0
Engenho do Meio,Ibura,3av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Engenho do Meio,Barro,4av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Boa Viagem,Arruda,av.agamenon_magalhaes+av.norte_miguel_arraes_de_alencar,av = avenida,2.0
Boa Viagem,Cordeiro,av.herculano_bandeira+av.joana_bezerra+av.agamenon_magalhaes+av.caxangá,av = avenida,4.0
Boa Viagem,Boa Vista,av.consolacao+r.do_sol+av.dantas_barreto,av = avenida; r = rua,4.0
Boa Viagem,Afogados,av.mascarenhas_de_moraes+r.sao_miguel,av = avenida; r = rua,3.0
Boa Viagem,Coelhos,av.joana_bezerra+av.agamenon_magalhaes+r.do_sol,av = avenida; r = rua,4.0
Boa Viagem,Brejo da Guabiraba,2av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida,2.0
Boa Viagem,Areias,av.mascarenhas_de_moraes+r.sao_miguel+br-101+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,6.0
Boa Viagem,Ibura,av.mascarenhas_de_moraes+br-101,av = avenida; br = rodovia BR,2.0
Boa Viagem,Barro,av.mascarenhas_de_moraes+br-101+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,4.0
Arruda,Cordeiro,2av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel,av = avenida; r = rua,4.0
Arruda,Boa Vista,3av.norte_miguel_arraes_de_alencar+av.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,4.0
Arruda,Afogados,av.norte_miguel_arraes_de_alencar+r.siqueira_campos+r.padre_muniz+r.sao_miguel,av = avenida; r = rua; br = rodovia BR,7.0
Arruda,Coelhos,av.norte_miguel_arraes_de_alencar+r.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,4.0
