Recife 1.1
Santo Amaro 1.1
Boa Vista 1.2
Cabanga 1.2
Ilha do Leite 1.2
Paissandu 1.2
Santo Antônio 1.2
Soledade 1.2
São José 1.2
Coelhos 1.3
Ilha Joana Bezerra 1.3
Arruda 2.1
Campina do Barreto 2.1
Campo Grande 2.1
Encruzilhada 2.1
Hipódromo 2.1
Peixinhos 2.1
Ponto de Parada 2.1
Rosarinho 2.1
Torreão 2.1
Alto Santa Teresinha 2.2
Beberibe 2.2
Bomba do Hemetério 2.2
Cajueiro 2.2
Dois Unidos 2.2
Fundão 2.2
Linha do Tiro 2.2
Porto da Madeira 2.2
Água Fria 2.2
Aflitos 3.1
Alto do Mandu 3.1
Apipucos 3.1
Casa Amarela 3.1
Casa Forte 3.1
Derby 3.1
Dois Irmãos 3.1
Espinheiro 3.1
Graças 3.1
Jaqueira 3.1
Monteiro 3.1
Parnamirim 3.1
Poço 3.1
Santana 3.1
Sítio dos Pintos 3.1
Tamarineira 3.1
Alto José Bonifácio 3.2
Alto José do Pinho 3.2
Mangabeira 3.2
Morro da Conceição 3.2
Vasco da Gama 3.2
Brejo da Guabiraba 3.3
Brejo de Beberibe 3.3
Córrego do Jenipapo 3.3
Guabiraba 3.3
Macaxeira 3.3
Nova Descoberta 3.3
Passarinho 3.3
Pau-Ferro 3.3
Cordeiro 4.1
Ilha do Retiro 4.1
Iputinga 4.1
Madalena 4.1
Prado 4.1
Torre 4.1
Zumbi 4.1
Engenho do Meio 4.2
Torrões 4.2
Caxangá 4.3
Cidade Universitária 4.3
Várzea 4.3
Afogados 5.1
Bongi 5.1
Mangueira 5.1
Mustardinha 5.1
San Martin 5.1
Areias 5.2
Caçote 5.2
Estância 5.2
Jiquiá 5.2
Barro 5.3
Coqueiral 5.3
Curado 5.3
Jardim São Paulo 5.3
Sancho 5.3
Tejipió 5.3
Totó 5.3
Boa Viagem 6.1
Brasília Teimosa 6.1
Imbiribeira 6.1
Ipsep 6.1
Pina 6.1
Ibura 6.2
Jordão 6.2
Cohab 6.3
