bairro_origem,bairro_destino,logradouro,observacao,peso
Recife,Santo Amaro,p.mauricio_nassau+p.limoeiro,p = ponte,1.0
Boa Vista,Cabanga,p.boa_vista+p.de_ferro+vd.cinco_pontas,p = ponte; vd = viaduto,1.5
Boa Vista,Ilha do Leite,r.dos_coelhos,r = rua,2.0
Boa Vista,Paissandu,r.dos_coelhos+r.francisco_alves,r = rua,4.0
Boa Vista,Santo Antonio,p.da_boa_vista,p = ponte,0.5
Boa Vista,Sao Jose,p.da_boa_vista+p.de_ferro,p = ponte,1.0
Boa Vista,Soledade,av.conde_da_boa_vista,av = avenida,1.0
Cabanga,Ilha do Leite,vd.cinco_pontas+r.dr_jose_mariano+r.dos_coelhos,vd = viaduto; r = rua,4.5
Cabanga,Paissandu,vd.cinco_pontas+r.dr_jose_mariano+r.dos_coelhos+r.francisco_alves,vd = viaduto; r = rua,6.5
Cabanga,Santo Antonio,vd.cinco_pontas+p.de_ferro,vd = viaduto; p = ponte,1.0
Cabanga,Sao Jose,vd.cinco_pontas,vd = viaduto,0.5
Cabanga,Soledade,vd.cinco_pontas+p.de_ferro+p.da_boa_vista+av.conde_da_boa_vista,"vd = viaduto; p = ponte; av = avenida",2.5
Ilha do Leite,Paissandu,r.francisco_alves,r = rua,2.0
Ilha do Leite,Santo Antonio,r.dos_coelhos+p.da_boa_vista,r = rua; p = ponte,2.5
Ilha do Leite,Sao Jose,r.dos_coelhos+r.dr_jose_mariano,r = rua,4.0
Ilha do Leite,Soledade,r.dos_coelhos+av.conde_da_boa_vista,r = rua; av = avenida,3.0
Paissandu,Santo Antonio,r.francisco_alves+r.dos_coelhos+p.da_boa_vista,r = rua; p = ponte,4.5
Paissandu,Sao Jose,r.francisco_alves+r.dos_coelhos+r.dr_jose_mariano,r = rua,6.0
Paissandu,Soledade,r.francisco_alves+r.dos_coelhos+av.conde_da_boa_vista,r = rua; av = avenida,5.0
Santo Antonio,Sao Jose,p.de_ferro,p = ponte,0.5
Santo Antonio,Soledade,p.da_boa_vista+av.conde_da_boa_vista,p = ponte; av = avenida,1.5
Sao Jose,Soledade,p.de_ferro+p.da_boa_vista+av.conde_da_boa_vista,p = ponte; av = avenida,2.0
Coelhos,Ilha Joana Bezerra,r.dr_jose_mariano+p.joaquim_cardoso,r = rua; p = ponte,2.5
Arruda,Campina do Barreto,1av.beberibe,av = avenida,1.0
Arruda,Campo Grande,est.de_belem+av.norte,est = estrada; av = avenida,2.5
Arruda,Encruzilhada,av.beberibe+av.norte+r.dr_jose_maria,av = avenida; r = rua,4.0
Arruda,Hipodromo,1est.de_belem,est = estrada,1.5
Arruda,Peixinhos,1av.prof_jose_dos_anjos,av = avenida,1.0
Arruda,Ponto de Parada,2av.beberibe,av = avenida,1.0
Arruda,Rosarinho,1av.beberibe+av.norte,av = avenida,2.0
Arruda,Torreao,est.de_belem+r.da_regeneracao,"est = estrada; r  = rua",3.5
Campina do Barreto,Campo Grande,2av.beberibe+av.norte,av = avenida,2.0
Campina do Barreto,Encruzilhada,3av.beberibe,av = avenida,1.0
Campina do Barreto,Hipodromo,av.beberibe+est.de_belem,est = estrada; av = avenida,2.5
Campina do Barreto,Peixinhos,2av.prof_jose_dos_anjos,av = avenida,1.0
Campina do Barreto,Ponto de Parada,4av.beberibe,av = avenida,1.0
Campina do Barreto,Rosarinho,3av.beberibe+av.norte,av = avenida,2.0
Campina do Barreto,Torreao,"1av.beberibe+est.de_belem+r.da_regeneracao","est = estrada; av = avenida; r = rua",4.5
Campo Grande,Encruzilhada,5av.beberibe,av = avenida,1.0
