bairro,grau
Aflitos,4
Afogados,9
Alto José Bonifácio,6
Alto José do Pinho,7
Alto Santa Teresinha,6
Alto do Mandu,4
Apipucos,6
Areias,5
Arruda,8
Barro,4
Beberibe,4
Boa Viagem,3
Boa Vista,9
Bomba do Hemetério,5
Bongi,4
Brasília Teimosa,1
Brejo da Guabiraba,5
Brejo de Beberibe,7
Cabanga,3
Cajueiro,3
Campina do Barreto,5
Campo Grande,6
Casa Amarela,10
Casa Forte,4
Caxangá,4
Caçote,1
Cidade Universitária,4
Coelhos,5
Cohab,2
Coqueiral,3
Cordeiro,7
Curado,4
Córrego do Jenipapo,6
Derby,5
Dois Irmãos,5
Dois Unidos,4
Encruzilhada,8
Engenho do Meio,4
Espinheiro,6
Estância,3
Fundão,4
Graças,10
Guabiraba,5
Hipódromo,3
Ibura,3
Ilha Joana Bezerra,6
Ilha do Leite,4
Ilha do Retiro,6
Imbiribeira,4
Ipsep,2
Iputinga,5
Jaqueira,5
Jardim São Paulo,6
Jiquiá,5
Jordão,3
Linha do Tiro,6
Macaxeira,3
Madalena,7
Mangabeira,4
Mangueira,4
Monteiro,4
Morro da Conceição,5
Mustardinha,4
Nova Descoberta,7
Paissandu,6
Parnamirim,5
Passarinho,4
Pau-Ferro,1
Peixinhos,2
Pina,3
Ponto de Parada,6
Porto da Madeira,4
Poço,4
Prado,7
Recife,3
Rosarinho,5
San Martin,9
Sancho,3
Santana,4
Santo Amaro,7
Santo Antônio,5
Soledade,2
São José,5
Sítio dos Pintos,1
Tamarineira,9
Tejipió,4
Torre,5
Torreão,4
Torrões,3
Totó,3
Vasco da Gama,5
Várzea,3
Zumbi,4
Água Fria,8
